,answers,flickr_300k_url,flickr_original_url,image_classes,image_height,image_id,image_width,ocr_info,ocr_tokens,question,question_id,question_tokens,set_name
12112,"['headfirst coffee roasters', 'headfirst coffee roasters', 'headfirst coffee roasters', 'headfirst coffee roasters', 'headfirst coffee roasters', 'headfirst coffee roasters ', 'unanswerable', 'headfirst coffee roasters', 'headfirst coffee roasters', 'headfirst coffee roasters']",https://c4.staticflickr.com/3/2926/14288465996_1cce1d2d44_z.jpg,https://c7.staticflickr.com/3/2926/14288465996_fcbb47e29b_o.jpg,"['Home appliance', 'Person', 'Building', 'Kitchen appliance']",768,646515c3b89edabe,1024,[],[],what is the name of this coffee shop?,12112,"['what', 'is', 'the', 'name', 'of', 'this', 'coffee', 'shop']",train
12113,"['yes, they do.', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",https://c4.staticflickr.com/3/2926/14288465996_1cce1d2d44_z.jpg,https://c7.staticflickr.com/3/2926/14288465996_fcbb47e29b_o.jpg,"['Home appliance', 'Person', 'Building', 'Kitchen appliance']",768,646515c3b89edabe,1024,[],[],do they offer coffee roasted for espresso?,12113,"['do', 'they', 'offer', 'coffee', 'roasted', 'for', 'espresso']",train
12114,"['1879', '1879', '1879', '1879', '1875', '1879', '1879', '1878', '1879', '1879']",https://c4.staticflickr.com/5/4094/4781157141_72d99892cb_z.jpg,https://c1.staticflickr.com/5/4094/4781157141_21f908899f_o.jpg,"['Footwear', 'Building', 'Window', 'Kitchen appliance']",768,646cf68c565da888,1024,"[{'word': 'BOGUE', 'bounding_box': {'top_left_x': 0.28125, 'top_left_y': 0.696875, 'width': 0.0625, 'height': 0.015625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'CHITTO', 'bounding_box': {'top_left_x': 0.36041666666666666, 'top_left_y': 0.7015625, 'width': 0.06041666666666667, 'height': 0.0171875, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'METHODIST', 'bounding_box': {'top_left_x': 0.30833333333333335, 'top_left_y': 0.728125, 'width': 0.09583333333333334, 'height': 0.0140625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'CHURCH', 'bounding_box': {'top_left_x': 0.325, 'top_left_y': 0.75625, 'width': 0.0625, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'EST.', 'bounding_box': {'top_left_x': 0.3104166666666667, 'top_left_y': 0.7828125, 'width': 0.035416666666666666, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': '1879', 'bounding_box': {'top_left_x': 0.3625, 'top_left_y': 0.7828125, 'width': 0.0375, 'height': 0.0140625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'SERTICE', 'bounding_box': {'top_left_x': 0.3645833333333333, 'top_left_y': 0.81875, 'width': 0.05416666666666667, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'SUNDAY', 'bounding_box': {'top_left_x': 0.2833333333333333, 'top_left_y': 0.8203125, 'width': 0.05625, 'height': 0.0140625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': '9:30', 'bounding_box': {'top_left_x': 0.3375, 'top_left_y': 0.8375, 'width': 0.0375, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}]","['BOGUE', 'CHITTO', 'METHODIST', 'CHURCH', 'EST.', '1879', 'SERTICE', 'SUNDAY', '9:30']",when was the church established?,12114,"['when', 'was', 'the', 'church', 'established']",train
12115,"['wired', 'wired', 'wired', 'wired', 'wired', 'wired', 'wired', 'wired', 'wired', 'wired']",https://c4.staticflickr.com/4/3386/4606936753_ededa6701e_z.jpg,https://farm6.staticflickr.com/3386/4606936753_bda71f5ca7_o.jpg,"['Home appliance', 'Book', 'Furniture', 'Shelf', 'Kitchen appliance']",683,65189d80135f13a5,1024,"[{'word': 'he', 'bounding_box': {'top_left_x': 0.56875, 'top_left_y': 0.0351288056206089, 'width': 0.025, 'height': 0.0117096018735363, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'STRONG', 'bounding_box': {'top_left_x': 0.934375, 'top_left_y': 0.1288056206088993, 'width': 0.0640625, 'height': 0.02107728337236534, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'STRONG', 'bounding_box': {'top_left_x': 0.9234375, 'top_left_y': 0.6112412177985949, 'width': 0.04375, 'height': 0.01873536299765808, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'BOX', 'bounding_box': {'top_left_x': 0.9734375, 'top_left_y': 0.6206088992974239, 'width': 0.01875, 'height': 0.01639344262295082, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'WIEED', 'bounding_box': {'top_left_x': 0.3203125, 'top_left_y': 0.5831381733021077, 'width': 0.1546875, 'height': 0.0468384074941452, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}]","['he', 'STRONG', 'STRONG', 'BOX', 'WIEED']",what magazine has the green and black cover?,12115,"['what', 'magazine', 'has', 'the', 'green', 'and', 'black', 'cover']",train
12116,"['no', 'unanswerable', 'yes', 'no', 'acer', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'unanswerable', 'yes', 'yes']",https://c4.staticflickr.com/4/3386/4606936753_ededa6701e_z.jpg,https://farm6.staticflickr.com/3386/4606936753_bda71f5ca7_o.jpg,"['Home appliance', 'Book', 'Furniture', 'Shelf', 'Kitchen appliance']",683,65189d80135f13a5,1024,"[{'word': 'he', 'bounding_box': {'top_left_x': 0.56875, 'top_left_y': 0.0351288056206089, 'width': 0.025, 'height': 0.0117096018735363, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'STRONG', 'bounding_box': {'top_left_x': 0.934375, 'top_left_y': 0.1288056206088993, 'width': 0.0640625, 'height': 0.02107728337236534, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'STRONG', 'bounding_box': {'top_left_x': 0.9234375, 'top_left_y': 0.6112412177985949, 'width': 0.04375, 'height': 0.01873536299765808, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'BOX', 'bounding_box': {'top_left_x': 0.9734375, 'top_left_y': 0.6206088992974239, 'width': 0.01875, 'height': 0.01639344262295082, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'WIEED', 'bounding_box': {'top_left_x': 0.3203125, 'top_left_y': 0.5831381733021077, 'width': 0.1546875, 'height': 0.0468384074941452, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}]","['he', 'STRONG', 'STRONG', 'BOX', 'WIEED']",are those cds on the black container?,12116,"['are', 'those', 'cds', 'on', 'the', 'black', 'container']",train
12117,"['wine shop', 'wine shop', 'wine shop', 'wine shop', 'wine shop', 'a wine shop', 'wine shop', 'wine shop', 'a wine shop', 'wine shop']",https://c7.staticflickr.com/4/3550/3373163253_eb3a366008_z.jpg,https://c3.staticflickr.com/4/3550/3373163253_42a2952266_o.jpg,"['House', 'Clothing', 'Building', 'Furniture', 'Window', 'Kitchen appliance']",768,65c8c3db704c5e9a,1024,"[{'word': 'SONOMA', 'bounding_box': {'top_left_x': 0.2734375, 'top_left_y': 0.7645833333333333, 'width': 0.103125, 'height': 0.029166666666666667, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'PASEO', 'bounding_box': {'top_left_x': 0.721875, 'top_left_y': 0.78125, 'width': 0.05625, 'height': 0.027083333333333334, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'sa', 'bounding_box': {'top_left_x': 0.7171875, 'top_left_y': 0.8125, 'width': 0.059375, 'height': 0.016666666666666666, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'WINE', 'bounding_box': {'top_left_x': 0.259375, 'top_left_y': 0.7958333333333333, 'width': 0.0734375, 'height': 0.04583333333333333, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'SHOP', 'bounding_box': {'top_left_x': 0.3484375, 'top_left_y': 0.7958333333333333, 'width': 0.06875, 'height': 0.04583333333333333, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'CHOCOLATE', 'bounding_box': {'top_left_x': 0.6015625, 'top_left_y': 0.9479166666666666, 'width': 0.04375, 'height': 0.010416666666666666, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'TASTING', 'bounding_box': {'top_left_x': 0.6140625, 'top_left_y': 0.9625, 'width': 0.028125, 'height': 0.008333333333333333, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'pwONDS', 'bounding_box': {'top_left_x': 0.846875, 'top_left_y': 0.95, 'width': 0.0375, 'height': 0.00625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}]","['SONOMA', 'PASEO', 'sa', 'WINE', 'SHOP', 'CHOCOLATE', 'TASTING', 'pwONDS']",what is sonom?,12117,"['what', 'is', 'sonom']",train
12118,"['sonoma wine shop', 'sonoma wine shop', 'sonoma wine shop', 'wine shop', 'sonoma wine shop', 'sonom wine shop', 'sonoma wine shop', 'sonoma wine shop', 'sonoma wine shop', 'sonoma wine shop']",https://c7.staticflickr.com/4/3550/3373163253_eb3a366008_z.jpg,https://c3.staticflickr.com/4/3550/3373163253_42a2952266_o.jpg,"['House', 'Clothing', 'Building', 'Furniture', 'Window', 'Kitchen appliance']",768,65c8c3db704c5e9a,1024,"[{'word': 'SONOMA', 'bounding_box': {'top_left_x': 0.2734375, 'top_left_y': 0.7645833333333333, 'width': 0.103125, 'height': 0.029166666666666667, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'PASEO', 'bounding_box': {'top_left_x': 0.721875, 'top_left_y': 0.78125, 'width': 0.05625, 'height': 0.027083333333333334, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'sa', 'bounding_box': {'top_left_x': 0.7171875, 'top_left_y': 0.8125, 'width': 0.059375, 'height': 0.016666666666666666, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'WINE', 'bounding_box': {'top_left_x': 0.259375, 'top_left_y': 0.7958333333333333, 'width': 0.0734375, 'height': 0.04583333333333333, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'SHOP', 'bounding_box': {'top_left_x': 0.3484375, 'top_left_y': 0.7958333333333333, 'width': 0.06875, 'height': 0.04583333333333333, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'CHOCOLATE', 'bounding_box': {'top_left_x': 0.6015625, 'top_left_y': 0.9479166666666666, 'width': 0.04375, 'height': 0.010416666666666666, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'TASTING', 'bounding_box': {'top_left_x': 0.6140625, 'top_left_y': 0.9625, 'width': 0.028125, 'height': 0.008333333333333333, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'pwONDS', 'bounding_box': {'top_left_x': 0.846875, 'top_left_y': 0.95, 'width': 0.0375, 'height': 0.00625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}]","['SONOMA', 'PASEO', 'sa', 'WINE', 'SHOP', 'CHOCOLATE', 'TASTING', 'pwONDS']",what is the name of the shop?,12118,"['what', 'is', 'the', 'name', 'of', 'the', 'shop']",train
12119,"['remove excess spillage, broiler pan, oven rack and utensils', 'before cleaning', 'remove excess spillage', 'remove excess spillage, broiler pan', 'to remove excess spillage, broiler pan, oven racks, and utensils before cleaning', 'remove excess spillage, broiler pan, oven racks and utensils', 'cleaning', 'unanswerable', 'remove excess spillage ', 'removing excess spillage, broiler fan, oven racks and all utensils']",https://c8.staticflickr.com/3/2115/2148665168_32da5ddffe_z.jpg,https://farm7.staticflickr.com/2115/2148665168_f7fedafcfa_o.jpg,"['Home appliance', 'Oven', 'Food', 'Microwave oven', 'Kitchen appliance']",768,667247b7a37b2e26,1024,"[{'word': 'BEFORE', 'bounding_box': {'top_left_x': 0.39375, 'top_left_y': 0.9020833333333333, 'width': 0.053125, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'CLEANING', 'bounding_box': {'top_left_x': 0.4546875, 'top_left_y': 0.9041666666666667, 'width': 0.06875, 'height': 0.014583333333333334, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'CAUTION-', 'bounding_box': {'top_left_x': 0.2421875, 'top_left_y': 0.9166666666666666, 'width': 0.0875, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'REMOVE', 'bounding_box': {'top_left_x': 0.3375, 'top_left_y': 0.925, 'width': 0.0640625, 'height': 0.010416666666666666, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'EXCESS', 'bounding_box': {'top_left_x': 0.4078125, 'top_left_y': 0.9270833333333334, 'width': 0.053125, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'SPILLAGE,', 'bounding_box': {'top_left_x': 0.4671875, 'top_left_y': 0.93125, 'width': 0.0765625, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'BROILER', 'bounding_box': {'top_left_x': 0.5515625, 'top_left_y': 0.9354166666666667, 'width': 0.0625, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'PAN.', 'bounding_box': {'top_left_x': 0.621875, 'top_left_y': 0.9416666666666667, 'width': 0.0375, 'height': 0.010416666666666666, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'OVEN', 'bounding_box': {'top_left_x': 0.2375, 'top_left_y': 0.9333333333333333, 'width': 0.0421875, 'height': 0.010416666666666666, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'RACKS', 'bounding_box': {'top_left_x': 0.2875, 'top_left_y': 0.9354166666666667, 'width': 0.0484375, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'AND', 'bounding_box': {'top_left_x': 0.34375, 'top_left_y': 0.9395833333333333, 'width': 0.0328125, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'ALL', 'bounding_box': {'top_left_x': 0.3828125, 'top_left_y': 0.9416666666666667, 'width': 0.025, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'UTENSILS.', 'bounding_box': {'top_left_x': 0.4171875, 'top_left_y': 0.9458333333333333, 'width': 0.071875, 'height': 0.010416666666666666, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'FOR', 'bounding_box': {'top_left_x': 0.2296875, 'top_left_y': 0.95625, 'width': 0.0296875, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'COMPLETE', 'bounding_box': {'top_left_x': 0.265625, 'top_left_y': 0.9583333333333334, 'width': 0.0796875, 'height': 0.014583333333333334, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'DETAILS', 'bounding_box': {'top_left_x': 0.3515625, 'top_left_y': 0.9645833333333333, 'width': 0.0609375, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'SEE', 'bounding_box': {'top_left_x': 0.4203125, 'top_left_y': 0.96875, 'width': 0.0234375, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'OPERATING', 'bounding_box': {'top_left_x': 0.4515625, 'top_left_y': 0.9708333333333333, 'width': 0.09375, 'height': 0.0125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'INSTRUCTIONS.', 'bounding_box': {'top_left_x': 0.553125, 'top_left_y': 0.975, 'width': 0.125, 'height': 0.014583333333333334, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}]","['BEFORE', 'CLEANING', 'CAUTION-', 'REMOVE', 'EXCESS', 'SPILLAGE,', 'BROILER', 'PAN.', 'OVEN', 'RACKS', 'AND', 'ALL', 'UTENSILS.', 'FOR', 'COMPLETE', 'DETAILS', 'SEE', 'OPERATING', 'INSTRUCTIONS.']",what is that caution for?,12119,"['what', 'is', 'that', 'caution', 'for']",train
12120,"['qwdp', 'm p q w o p h a t', 'm,p,q, w, q, p, h, a, t', 'mpqwhat', 'qwop', 'q,w,o,p,m,h,a,t', 'qwdpmhat', 'mpqwophat', 'qwd', 'mpqwap']",https://c7.staticflickr.com/3/2869/12182502316_db4d515deb_z.jpg,https://farm5.staticflickr.com/2869/12182502316_94ddebd9c6_o.jpg,"['Home appliance', 'Refrigerator', 'Kitchen appliance']",1024,66ebaa2452db80a4,626,"[{'word': 'M', 'bounding_box': {'top_left_x': 0.09207161125319693, 'top_left_y': 0.0640625, 'width': 0.0741687979539642, 'height': 0.0390625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'W', 'bounding_box': {'top_left_x': 0.33248081841432225, 'top_left_y': 0.053125, 'width': 0.1636828644501279, 'height': 0.0671875, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'BORDL', 'bounding_box': {'top_left_x': 0.7979539641943734, 'top_left_y': 0.1296875, 'width': 0.04092071611253197, 'height': 0.00625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'QWOP', 'bounding_box': {'top_left_x': 0.09974424552429667, 'top_left_y': 0.16875, 'width': 0.23017902813299232, 'height': 0.0375, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'NOW', 'bounding_box': {'top_left_x': 0.6163682864450127, 'top_left_y': 0.146875, 'width': 0.043478260869565216, 'height': 0.009375, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'a', 'bounding_box': {'top_left_x': 0.5012787723785166, 'top_left_y': 0.3484375, 'width': 0.04603580562659847, 'height': 0.003125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}]","['M', 'W', 'BORDL', 'QWOP', 'NOW', 'a']",what letters are the alphabet magnets on the fridge?,12120,"['what', 'letters', 'are', 'the', 'alphabet', 'magnets', 'on', 'the', 'fridge']",train
12121,"['fair trade', 'fair trade certified', 'fair trade certified', 'unanswerable', 'fair trade certified', 'unanswerable', '0-3', 'qwop', 'unanswerable', 'qwqp hat']",https://c7.staticflickr.com/3/2869/12182502316_db4d515deb_z.jpg,https://farm5.staticflickr.com/2869/12182502316_94ddebd9c6_o.jpg,"['Home appliance', 'Refrigerator', 'Kitchen appliance']",1024,66ebaa2452db80a4,626,"[{'word': 'M', 'bounding_box': {'top_left_x': 0.09207161125319693, 'top_left_y': 0.0640625, 'width': 0.0741687979539642, 'height': 0.0390625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'W', 'bounding_box': {'top_left_x': 0.33248081841432225, 'top_left_y': 0.053125, 'width': 0.1636828644501279, 'height': 0.0671875, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'BORDL', 'bounding_box': {'top_left_x': 0.7979539641943734, 'top_left_y': 0.1296875, 'width': 0.04092071611253197, 'height': 0.00625, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'QWOP', 'bounding_box': {'top_left_x': 0.09974424552429667, 'top_left_y': 0.16875, 'width': 0.23017902813299232, 'height': 0.0375, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'NOW', 'bounding_box': {'top_left_x': 0.6163682864450127, 'top_left_y': 0.146875, 'width': 0.043478260869565216, 'height': 0.009375, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}, {'word': 'a', 'bounding_box': {'top_left_x': 0.5012787723785166, 'top_left_y': 0.3484375, 'width': 0.04603580562659847, 'height': 0.003125, 'rotation': 0, 'yaw': 0, 'roll': 0, 'pitch': 0}}]","['M', 'W', 'BORDL', 'QWOP', 'NOW', 'a']",what do the two stickers in the center say?,12121,"['what', 'do', 'the', 'two', 'stickers', 'in', 'the', 'center', 'say']",train
